School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Fairfield-Suisun Unified school District,2020,https://www.fsusd.org/,"2490 Hilborn Road Fairfield, CA 94534",2490 Hilborn Road,,Fairfield,CA,94534,38.27612,-122.05078,CA,1,City - Midsize (12),A - City,613360,"21,405","D - 10,000 - 24,999",30,,9.58%,A - Less than 10 percent,D - West,Regular LEA
Fairport Central School District,2019,https://fairport.org/,"38 W. Church Street Fairport, NY 14450",38 W. Church Street,,Fairport,NY,14450,43.09919,-77.44485,NY,1,Suburb - Large (21),B - Suburban,3610890,"6,061","C - 2,500 - 9,999",8,"1,178.88",6.98%,A - Less than 10 percent,A - Northeast,Regular LEA
Fargo Public Schools,"2017, 2019",https://www.fargo.k12.nd.us/,"415 North 4th Street Fargo, ND 58102",415 North 4th Street,,Fargo,ND,58102,46.88084,-96.7839,ND,2,City - Midsize (12),A - City,3806780,"11,298","D - 10,000 - 24,999",22,"1,616.65",9.11%,A - Less than 10 percent,C - Central,Regular LEA
Fayette County Public Schools,2019,https://www.fcps.net/,"701 East Main Street Lexington, KY 40502",701 East Main Street,,Lexington,KY,40502,38.03618,-84.48519,KY,1,City - Large (11),A - City,2101860,"41,558","E - 25,000 - 99,999",78,"5,692.10",16.03%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Fayetteville-Manlius School District,2019,https://www.fmschools.org/,"8199 East Seneca Turnpike Manlius, NY 13104",8199 East Seneca Turnpike,,Manlius,NY,13104,43.0069002,-75.9613653,NY,1,Suburb - Large (21),B - Suburban,3618330,"4,255","C - 2,500 - 9,999",6,651.92,4.06%,A - Less than 10 percent,A - Northeast,Regular LEA
Ferndale School District,2020,https://www.ferndalesd.org/,"6041 Vista Drive Ferndale, WA 98248",6041 Vista Drive,,Ferndale,WA,98248,48.86004,-122.6006,WA,1,Suburb - Midsize (22),B - Suburban,5302850,"4,802","C - 2,500 - 9,999",13,,12.55%,B - 10 to 19.99 percent,D - West,Regular LEA
Flagstaff Unified School District,2019,https://www.fusd1.org/,"3285 East Sparrow Avenue Flagstaff, AZ 86004",3285 East Sparrow Avenue,,Flagstaff,AZ,86004,35.19913,-111.60673,AZ,2,City - Small (13),A - City,402860,"9,650","C - 2,500 - 9,999",17,"1,180.15",15.26%,B - 10 to 19.99 percent,D - West,Regular LEA
Floral Park-Bellerose Union Free School District,2020,https://www.fpbsd.org/,"1 Poppy Place Floral Park, NY 11001",1 Poppy Place,,Floral Park,NY,11001,40.72029,-73.72035,NY,1,Suburb - Large (21),B - Suburban,3611160,"1,568","B - 1,000 - 2,499",2,253.6,4.22%,A - Less than 10 percent,A - Northeast,Regular LEA
Florida Virtual School,2018,,"2145 Metrocenter Blvd Orlando, FL 32835",2145 Metrocenter Blvd,,Orlando,FL,32835,28.51926,-81.46784,FL,1,,E - N/A,1200002,,G - N/A,,,,E - N/A,B - Southeast,Special LEA
Floyd County Schools,2019,https://www.floydboe.net/Page/1,"600 Riverside Parkway NE Rome, GA 30161",600 Riverside Parkway NE,,Rome,GA,30161,34.28096,-85.16846,GA,1,Rural - Fringe (41),D - Rural,1302190,"9,949","C - 2,500 - 9,999",18,"1,319.00",21.91%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Forsyth Public Schools,2017,http://forsythpublicschools.org/,"1850 Cedar Street Forsyth, MT 59327",1850 Cedar Street,,Forsyth,MT,59327,46.271,-106.66763,MT,1,Rural - Remote (43),D - Rural,3011190,117,"A - Less than 1,000",1,20.08,8.09%,A - Less than 10 percent,D - West,Regular LEA
Fort Dodge Community School District,2020,https://www.fdschools.org/,"109 North 25th Street  Fort Dodge, IA 50501",109 North 25th Street ,,Fort Dodge,IA,50501,42.50792,-94.16248,IA,1,Town - Remote (33),C - Town,1911820,"3,838","C - 2,500 - 9,999",7,532.4,18.66%,B - 10 to 19.99 percent,C - Central,Regular LEA
Fort Worth Independent School District,"2017, 2020",https://www.fwisd.org/,"100 N. University Fort Worth, TX 76107",100 N. University,,Fort Worth,TX,76107,32.76019,-97.36044,TX,2,City - Large (11),A - City,4819700,"87,080","E - 25,000 - 99,999",145,"10,643.58",30.63%,D - 30 percent or more,D - West,Regular LEA
Fort Zumwalt School District R-II,2020,https://www.fz.k12.mo.us/,"555 E. Terra Lane O'Fallon, MO  63366",555 E. Terra Lane,,O'Fallon,MO,63366,38.80309,-90.69141,MO,1,Suburb - Large (21),B - Suburban,2908370,"18,049","D - 10,000 - 24,999",27,"2,032.36",5.77%,A - Less than 10 percent,C - Central,Regular LEA
Fox Chapel Area School District,2019,https://www.fcasd.edu/,"611 Field Club Road Pittsburgh, PA 15238",611 Field Club Road,,Pittsburgh,PA,15238,40.5181,-79.86867,PA,1,Suburb - Large (21),B - Suburban,4210070,"4,095","C - 2,500 - 9,999",6,598,6.37%,A - Less than 10 percent,A - Northeast,Regular LEA
Foxborough Public Schools,2020,https://www.foxborough.k12.ma.us/,"60 South Street Foxborough, MA 02035",60 South Street,,Foxborough,MA,2035,42.06166,-71.25167,MA,1,Suburb - Large (21),B - Suburban,2504950,"2,553","C - 2,500 - 9,999",5,369.72,4.41%,A - Less than 10 percent,A - Northeast,Regular LEA
Foxborough Regional Charter School,2019,https://www.foxboroughrcs.org/,"131 Central Street Foxborough, MA 02035",131 Central Street,,Foxborough,MA,2035,42.05724,-71.24513,MA,1,Suburb - Large (21),B - Suburban,2500052,"1,469","B - 1,000 - 2,499",1,167.25,,E - N/A,A - Northeast,Charter
Franklin Regional School District,2016,http://www.franklinregional.k12.pa.us/,"3210 School Road Murrysville, PA 15668",3210 School Road,,Murrysville,PA,15668,40.4288727,-79.664737,PA,1,Suburb - Large (21),B - Suburban,4210230,"3,478","C - 2,500 - 9,999",5,421.19,5.18%,A - Less than 10 percent,A - Northeast,Regular LEA
Frederick County Public Schools,2016,https://www.fcps.org/,"191 South East Street Frederick, MD 21701",191 South East Street,,Frederick,MD,21701,39.41055,-77.40647,MD,1,Suburb - Midsize (22),B - Suburban,2400330,"40,655","E - 25,000 - 99,999",67,"5,463.38",6.73%,A - Less than 10 percent,A - Northeast,Regular LEA
Fredericksburg City Schools,2018,http://www.cityschools.com/,"210 Ferdinand Street Fredericksburg, VA 22401",210 Ferdinand Street,,Fredericksburg,VA,22401,38.29404,-77.45803,VA,1,Suburb - Midsize (22),B - Suburban,5101510,"3,532","C - 2,500 - 9,999",5,553.76,20.12%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Fredonia Central School District,2019,https://www.fredonia.wnyric.org/,"425 East Main Street Fredonia, NY 14063",425 East Main Street,,Fredonia,NY,14063,42.44895,-79.31021,NY,1,Town - Distant (32),C - Town,3611520,"1,548","B - 1,000 - 2,499",3,256.07,15.32%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Fremont School District 79,2019,https://www.fsd79.org/,"28855 North Fremont Center Road Mundelein, IL 60060",28855 North Fremont Center Road,,Mundelein,IL,60060,42.28219,-88.06999,IL,1,Rural - Fringe (41),D - Rural,1715930,"2,169","B - 1,000 - 2,499",3,,3.24%,A - Less than 10 percent,C - Central,Regular LEA
Fremont-Mills Community School District ,2020,https://www.fremontmills.org/,"1114 US Highway 275  Tabor, IA 51653 ",1114 US Highway 275 ,,Tabor,IA,51653,40.9341953,-95.6714449,IA,1,Rural - Distant (42),D - Rural,1912120,526,"A - Less than 1,000",2,78.34,9.77%,A - Less than 10 percent,C - Central,Regular LEA
Fresno Unified School District,"2017, 2020",https://www.fresnounified.org/,"2309 Tulare Street Fresno, CA 93721",2309 Tulare Street,,Fresno,CA,93721,36.73666,-119.78707,CA,2,City - Large (11),A - City,614550,"73,460","E - 25,000 - 99,999",107,"7,112.11",43.07%,D - 30 percent or more,D - West,Regular LEA
Friendswood Independent School District,2019,https://myfisd.com/,"302 Laurel Drive Friendswood, TX 77546",302 Laurel Drive,,Friendswood,TX,77546,29.52897,-95.20422,TX,1,Suburb - Large (21),B - Suburban,4819950,"6,087","C - 2,500 - 9,999",7,596.63,4.87%,A - Less than 10 percent,D - West,Regular LEA
Frontier Regional and Union 38 School Districts,2020,https://www.frsu38.org/,"113 North Main Street South Deerfield, MA 01373",113 North Main Street,,South Deerfield,MA,1373,42.48406,-72.6053,MA,1,Town - Fringe (31),C - Town,2505100,647,"A - Less than 1,000",1,105.41,4.84%,A - Less than 10 percent,A - Northeast,Regular LEA
Fulton County Schools,2017,https://www.fultonschools.org/en,"6201 Powers Ferry Road Northwest Atlanta, GA 30339",6201 Powers Ferry Road Northwest,,Atlanta,GA,30339,33.90795,-84.42788,GA,1,Suburb - Large (21),B - Suburban,1302280,"95,641","E - 25,000 - 99,999",107,"12,078.90",15.93%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Fulton Schools,2017,https://www.fultonpirates.net/,"8060 Ely Highway Middleton, MI 48856",8060 Ely Highway,,Middleton,MI,48856,43.17352,-84.71116,MI,1,Rural - Distant (42),D - Rural,2615420,800,"A - Less than 1,000",4,94.97,15.12%,B - 10 to 19.99 percent,C - Central,Regular LEA
Gadsden Independent School District,"2018, 2019",http://www.gisd.k12.nm.us/,"4950 McNutt Road Sunland Park, NM 88063",4950 McNutt Road,,Sunland Park,NM,88063,31.8019899,-106.5419878,NM,3,Rural - Fringe (41),D - Rural,3501080,"13,550","D - 10,000 - 24,999",27,"1,686.54",46.38%,D - 30 percent or more,D - West,Regular LEA
Galloway Township Public Schools,2018,http://www.gtps.k12.nj.us/,"101 South Reeds Road Galloway, NJ 08205",101 South Reeds Road,,Galloway,NJ,8205,39.48379,-74.51378,NJ,1,Suburb - Midsize (22),B - Suburban,3405730,"3,333","C - 2,500 - 9,999",6,562.41,14.50%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Gardiner Public Schools,,http://www.gardiner.org/,"510 Stone Street Gardiner, MT 59030",510 Stone Street,,Gardiner,MT,59030,45.03191,-110.71116,MT,1,Rural - Remote (43),D - Rural,3011850,63,"A - Less than 1,000",1,10.68,5.97%,A - Less than 10 percent,D - West,Regular LEA
Gardner Community Consolidated School District 72C,2018,https://www.ggs72.org/,"598 N. Elm St. Gardner, IL 60424",598 N. Elm St.,,Gardner,IL,60424,41.19311,-88.3067,IL,1,Rural - Distant (42),D - Rural,1716230,198,"A - Less than 1,000",1,16.47,6.70%,A - Less than 10 percent,C - Central,Regular LEA
Garland Independent School District,2019,https://www.garlandisd.net/,"501 S. Jupiter Garland, TX 75042",501 S. Jupiter,,Garland,TX,75042,32.90806,-96.68394,TX,1,Suburb - Large (21),B - Suburban,4820340,"57,133","E - 25,000 - 99,999",73,"7,240.42",17.49%,B - 10 to 19.99 percent,D - West,Regular LEA
Gaston County Schools,2017,https://www.gaston.k12.nc.us/,"943 Osceola Street Gastonia, NC 28054",943 Osceola Street,,Gastonia,NC,28054,35.25063,-81.17739,NC,1,Suburb - Midsize (22),B - Suburban,3701620,"32,091","E - 25,000 - 99,999",55,"3,674.86",19.73%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Gates Chili Central School District ,2019,https://www.gateschili.org/,"3 Spartan Way Rochester, NY 14624",3 Spartan Way,,Rochester,NY,14624,43.1529351,-77.70659,NY,1,Suburb - Large (21),B - Suburban,3611880,"4,229","C - 2,500 - 9,999",6,816.44,14.58%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Geneva City Schools,2019,http://www.genevacityschools.com/,"511 Panther Dr. Geneva, AL 36340",511 Panther Dr.,,Geneva,AL,36340,31.04246,-85.87933,AL,1,Rural - Fringe (41),D - Rural,101640,"1,269","B - 1,000 - 2,499",3,151.34,39.80%,D - 30 percent or more,B - Southeast,Regular LEA
Geneva School District 304,2019,http://www.geneva304.org/,"227 N. Fourth St. Geneva, IL 60134",227 N. Fourth St.,,Geneva,IL,60134,41.89079,-88.30787,IL,1,Suburb - Large (21),B - Suburban,1716380,"5,788","C - 2,500 - 9,999",10,"1,165.01",5.64%,A - Less than 10 percent,C - Central,Regular LEA
Genoa-Kingston CUSD #424 ,2019,https://www.gkschools.org/,"980 Park Avenue  Genoa, IL 60135 ",980 Park Avenue ,,Genoa,IL,60135,42.09706,-88.71766,IL,1,Town - Fringe (31),C - Town,1716410,"1,736","B - 1,000 - 2,499",4,284.75,7.44%,A - Less than 10 percent,C - Central,Regular LEA
Gilbert Public Schools,2016,http://www.gilbertschools.net/,"140 S Gilbert Rd Gilbert, AZ 85296",140 S Gilbert Rd,,Gilbert,AZ,85296,33.34736,-111.79076,AZ,1,Suburb - Large (21),B - Suburban,403400,"36,021","E - 25,000 - 99,999",41,"3,851.42",8.14%,A - Less than 10 percent,D - West,Regular LEA
Gilmer Independent School District,2017,http://www.gilmerisd.org/,"500 South Trinity Street Gilmer, TX 75644",500 South Trinity Street,,Gilmer,TX,75644,32.7246,-94.94728,TX,1,Rural - Remote (43),D - Rural,4820700,"2,426","B - 1,000 - 2,499",4,349.26,21.31%,C - 20 to 29.99 percent,D - West,Regular LEA
Gladewater Independent School District,2017,http://www.gladewaterisd.com/,"500 West Quitman Avenue Gladewater, TX 75647",500 West Quitman Avenue,,Gladewater,TX,75647,32.53787,-94.94692,TX,1,Suburb - Small (23),B - Suburban,4820760,"1,852","B - 1,000 - 2,499",4,299.3,21.22%,C - 20 to 29.99 percent,D - West,Regular LEA
Glastonbury Public Schools,2017,http://www.glastonburyus.org/,"628 Hebron Avenue Glastonbury, CT 06033",628 Hebron Avenue,,Glastonbury,CT,6033,41.71371,-72.58909,CT,1,Suburb - Large (21),B - Suburban,901620,"6,050","C - 2,500 - 9,999",9,"1,058.40",3.35%,A - Less than 10 percent,A - Northeast,Regular LEA
Glen Ellyn School District 41,2019,https://www.d41.org/d41,"793 N. Main Street Glen Ellyn, IL 60137",793 N. Main Street,,Glen Ellyn,IL,60137,41.88847,-88.06367,IL,1,Suburb - Large (21),B - Suburban,1716800,"3,585","C - 2,500 - 9,999",5,515.75,7.23%,A - Less than 10 percent,C - Central,Regular LEA
Glen Rose Independent School District,2017,http://www.grisd.net/,"1102 Stadium Drive Glen Rose, TX 76043",1102 Stadium Drive,,Glen Rose,TX,76043,32.2328359,-97.7688431,TX,1,Rural - Distant (42),D - Rural,4820850,"1,732","B - 1,000 - 2,499",4,250.4,14.79%,B - 10 to 19.99 percent,D - West,Regular LEA
Glenbrook High School District 225,2017,https://www.glenbrook225.org/,"3801 West Lake Ave.  Glenview, IL 60026",3801 West Lake Ave. ,,Glenview,IL,60026,42.08735,-87.85043,IL,1,Suburb - Large (21),B - Suburban,1729010,"5,078","C - 2,500 - 9,999",4,848.18,7.19%,A - Less than 10 percent,C - Central,Regular LEA
Glenwood Community School District,2019,http://www.glenwoodschools.org/,"103 Central Glenwood, IA  51534",103 Central,,Glenwood,IA,51534,41.0398273,-95.7372953,IA,1,Town - Fringe (31),C - Town,1912690,"2,060","B - 1,000 - 2,499",4,293.04,8.21%,A - Less than 10 percent,C - Central,Regular LEA
Gloucester County Public Schools,2017,http://gets.gc.k12.va.us/,"6099 T.C. Walker Road Gloucester, VA 23061",6099 T.C. Walker Road,,Gloucester,VA,23061,37.37879,-76.50746,VA,1,Rural - Fringe (41),D - Rural,5101620,"5,557","C - 2,500 - 9,999",9,815,12.55%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Godfrey-Lee Public Schools,2020,http://www.godfrey-lee.org/,"1324 Burton Street SW Wyoming, MI 49509",1324 Burton Street SW,,Wyoming,MI,49509,42.92782,-85.70024,MI,1,City - Small (13),A - City,2616080,"1,840","B - 1,000 - 2,499",5,212.45,21.46%,C - 20 to 29.99 percent,C - Central,Regular LEA
Goliad Independent School District,2017,https://www.goliadisd.org/,"161 North Welch Street Goliad, TX 77963",161 North Welch Street,,Goliad,TX,77963,28.6688642,-97.3846751,TX,1,Rural - Distant (42),D - Rural,4821030,"1,368","B - 1,000 - 2,499",3,220.99,22.03%,C - 20 to 29.99 percent,D - West,Regular LEA
Gordon County Schools,2019,https://www.gcbe.org/,"205 Warrior Path Calhoun, GA 30701",205 Warrior Path,,Calhoun,GA,30701,34.5149,-84.92407,GA,1,Rural - Fringe (41),D - Rural,1302430,"6,677","C - 2,500 - 9,999",10,816.4,15.30%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Gosnell School District,2020,https://www.gosnellschool.net/,"600 State Hwy 181 Gosnell, AR 72315",600 State Hwy 181,,Gosnell,AR,72315,35.95991,-89.9649451,AR,1,Town - Remote (33),C - Town,500029,"1,276","B - 1,000 - 2,499",2,231.01,29.05%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Grandview R-2 ,2020,https://www.grandviewr2.com/,"11470 Hwy C  Hillsboro, MO 63050 ",11470 Hwy C ,,Hillsboro,MO,63050,38.2053211,-90.5434843,MO,1,Rural - Distant (42),D - Rural,2913170,733,"A - Less than 1,000",3,103.33,14.59%,B - 10 to 19.99 percent,C - Central,Special LEA
Granite School District,"2018, 2020",https://www.graniteschools.org/," 2500 South State Street Salt Lake City, UT 84115", 2500 South State Street,,Salt Lake City,UT,84115,40.71591,-111.88907,UT,2,Suburb - Large (21),B - Suburban,4900360,"70,100","E - 25,000 - 99,999",92,0,12.47%,B - 10 to 19.99 percent,D - West,Regular LEA
Great Falls Public Schools,"2018, 2020",https://gfps.k12.mt.us/,"1100 4th St S Great Falls, MT 59405",1100 4th St S,,Great Falls,MT,59405,47.493,-111.30226,MT,2,City - Small (13),A - City,3013050,"2,963","C - 2,500 - 9,999",2,415.78,10.95%,B - 10 to 19.99 percent,D - West,Regular LEA
Great Neck Union Free School District,2018,https://www.greatneck.k12.ny.us/,"345 Lakeville Road Great Neck, NY 11020",345 Lakeville Road,,Great Neck,NY,11020,40.76532,-73.70137,NY,1,Suburb - Large (21),B - Suburban,3612510,"6,627","C - 2,500 - 9,999",10,"1,321.00",6.85%,A - Less than 10 percent,A - Northeast,Regular LEA
Greece Central School District,"2019, 2020",https://www.greececsd.org/,"750 Maiden Lane Rochester, NY 14615",750 Maiden Lane,,Rochester,NY,14615,43.22545,-77.66348,NY,3,Suburb - Large (21),B - Suburban,3612630,"11,083","D - 10,000 - 24,999",17,"2,202.06",17.31%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Greenfield-Central Schools,2019,http://www.gcsc.k12.in.us/,"110 West North Street Greenfield, IN 46140",110 West North Street,,Greenfield,IN,46140,39.7864,-85.77069,IN,1,Suburb - Large (21),B - Suburban,1804050,"4,623","C - 2,500 - 9,999",8,588.38,9.12%,A - Less than 10 percent,C - Central,Regular LEA
Greenville County Schools,2019,https://greenville.k12.sc.us/index.asp,"301 E. Camperdown Way Greenville, SC 29601",301 E. Camperdown Way,,Greenville,SC,29601,34.8439,-82.39606,SC,1,Suburb - Large (21),B - Suburban,4502310,"76,918","E - 25,000 - 99,999",91,"8,656.75",17.32%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Greenwich Public Schools,2019,https://www.greenwichschools.org/,"290 Greenwich Avenue Greenwich, CT 06830",290 Greenwich Avenue,,Greenwich,CT,6830,41.02482,-73.62636,CT,1,Suburb - Large (21),B - Suburban,901710,"8,955","C - 2,500 - 9,999",15,"1,525.08",6.52%,A - Less than 10 percent,A - Northeast,Regular LEA
Greenwood County School District 50,"2017, 2019",https://www.gwd50.org/,"1855 Calhoun Road Greenwood, SC 29648",1855 Calhoun Road,,Greenwood,SC,29648,34.2263221,-82.0467122,SC,2,Town - Distant (32),C - Town,4502340,"9,109","C - 2,500 - 9,999",14,964.3,33.33%,D - 30 percent or more,B - Southeast,Regular LEA
Groton Central School District,2019,http://www.grotoncs.org/,"400 Peru Road Groton, NY 13073",400 Peru Road,,Groton,NY,13073,42.5809,-76.36997,NY,1,Rural - Distant (42),D - Rural,3613020,843,"A - Less than 1,000",2,149.37,15.82%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Groton Public Schools,2017,https://www.groton.k12.ct.us/,"1300 Flanders Road Mystic, CT 06355",1300 Flanders Road,,Mystic,CT,6355,41.38631,-72.00364,CT,1,Suburb - Midsize (22),B - Suburban,901770,"4,487","C - 2,500 - 9,999",9,924.4,10.87%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Guilford County Schools,2019,https://www.gcsnc.com/,"712 N. Eugene St. Greensboro, NC 27401",712 N. Eugene St.,,Greensboro,NC,27401,36.08087,-79.79319,NC,1,City - Large (11),A - City,3701920,"73,059","E - 25,000 - 99,999",125,"9,433.59",17.78%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Gunter Independent School District,2017,https://www.gunterisd.org/,"213 N. 8th Street Gunter, TX 75058",213 N. 8th Street,,Gunter,TX,75058,33.44797,-96.74262,TX,1,Rural - Distant (42),D - Rural,4821960,822,"A - Less than 1,000",4,185.3,9.25%,A - Less than 10 percent,D - West,Regular LEA
Guthrie Public Schools,2019,https://www.guthrieps.net/,"802 East Vilas Guthrie, OK 73044",802 East Vilas,,Guthrie,OK,73044,35.87625,-97.41574,OK,1,Town - Fringe (31),C - Town,4013560,"3,461","C - 2,500 - 9,999",7,401.34,17.11%,B - 10 to 19.99 percent,D - West,Regular LEA
Gwinnett County Public School District,2020,https://publish.gwinnett.k12.ga.us/gcps/home/public/home,"437 Old Peachtree Road NW Suwanee, GA 30024",437 Old Peachtree Road NW,,Suwanee,GA,30024,34.01569,-84.0575,GA,1,Suburb - Large (21),B - Suburban,1302550,"179,758","F - 100,000 or more",139,"21,289.40",11.67%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Haldane Central School District,2019,https://www.haldaneschool.org/,"15 Craigside Dr Cold Spring, NY 10516",15 Craigside Dr,,Cold Spring,NY,10516,41.42277,-73.95581,NY,1,Town - Fringe (31),C - Town,3613230,833,"A - Less than 1,000",3,145.63,4.62%,A - Less than 10 percent,A - Northeast,Regular LEA
Hallettsville Independent School District,2017,https://www.hisdbrahmas.org/,"302 North Ridge Street Hallettsville, TX 77964",302 North Ridge Street,,Hallettsville,TX,77964,29.4475992,-96.9357031,TX,1,Rural - Remote (43),D - Rural,4822120,"1,081","B - 1,000 - 2,499",4,159.48,16.81%,B - 10 to 19.99 percent,D - West,Regular LEA
Hamden Public Schools,2020,https://www.hamden.org/,"60 Putnam Avenue Hamden, CT 06517",60 Putnam Avenue,,Hamden,CT,6517,41.34531,-72.91451,CT,2,Suburb - Large (21),B - Suburban,901860,"5,362","C - 2,500 - 9,999",10,"1,061.50",10.21%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Hamilton Central School,2017,https://www.hamiltoncentral.org/,"47 West Kendrick Avenue Hamilton, NY 13346",47 West Kendrick Avenue,,Hamilton,NY,13346,42.82232,-75.54689,NY,1,Town - Distant (32),C - Town,3613380,585,"A - Less than 1,000",2,92.85,9.01%,A - Less than 10 percent,A - Northeast,Regular LEA
Hampshire Regional School District,2020,http://www.hr-k12.org,"19 Stage Rd Westhampton, MA 01027",19 Stage Rd,,Westhampton,MA,1027,42.30395,-72.77151,MA,1,Rural - Fringe (41),D - Rural,2505740,719,"A - Less than 1,000",1,111.91,3.73%,A - Less than 10 percent,A - Northeast,Regular LEA
Hardin County School System,2017,http://www.hardin.k12.ky.us/,"65 West A Jenkins Road Elizabethtown, KY 42701",65 West A Jenkins Road,,Elizabethtown,KY,42701,37.75751,-85.89894,KY,1,Suburb - Small (23),B - Suburban,2102490,"14,719","D - 10,000 - 24,999",27,"2,118.74",15.74%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Harlem School District 122,2019,https://www.harlem122.org/,"8605 N. 2nd St. Machesney Park, IL 61115",8605 N. 2nd St.,,Machesney Park,IL,61115,42.3488,-89.04686,IL,1,Suburb - Large (21),B - Suburban,1718240,"6,638","C - 2,500 - 9,999",12,"1,108.19",14.05%,B - 10 to 19.99 percent,C - Central,Regular LEA
Harleton Independent School District,2017,https://www.harletonisd.net/,"17000 Texas 154 Harleton, TX 75651",17000 Texas 154,,Harleton,TX,75651,32.6758272,-94.5718754,TX,1,Rural - Distant (42),D - Rural,4822500,787,"A - Less than 1,000",3,114.23,16.59%,B - 10 to 19.99 percent,D - West,Regular LEA
Hartford Public Schools,2020,https://www.hartfordschools.org/,"960 Main Street Hartford, CT 06103",960 Main Street,,Hartford,CT,6103,41.76837,-72.67286,CT,1,City - Midsize (12),A - City,901920,"19,051","D - 10,000 - 24,999",38,"3,030.43",35.27%,D - 30 percent or more,A - Northeast,Regular LEA
Havre Public Schools,2020,https://www.blueponyk12.com/Page/1,"425 6th St Havre, MT 59501",425 6th St,,Havre,MT,59501,48.54808,-109.67653,MT,1,Town - Remote (33),C - Town,3013590,539,"A - Less than 1,000",1,79.41,14.52%,B - 10 to 19.99 percent,D - West,Regular LEA
Hawaii Technology Academy,2019,https://hi.myhta.org/,"94-450 Mokuola St Waipahu, HI 96797",94-450 Mokuola St,,Waipahu,HI,96797,21.38773,-158.00757,HI,1,Suburb - Large (21),B - Suburban,1.50003E+11,"1,062","B - 1,000 - 2,499",1,55,,E - N/A,D - West,Charter
Hawaiʻi State Department of Education,2019,http://www.hawaiipublicschools.org/Pages/Home.aspx,"1390 Miller St. Honolulu, HI 96813",1390 Miller St.,,Honolulu,HI,96813,21.3088537,-157.8549845,HI,1,Suburb - Large (21),B - Suburban,1500030,"181,550","F - 100,000 or more",292,"22,598.41",10.42%,B - 10 to 19.99 percent,D - West,Regular LEA
Hawai’i Academy of Arts and Science,2019,http://haaspcs.org/ls/,"15-1397 Homestead Rd Pahoa, HI 96778",15-1397 Homestead Rd,,Pahoa,HI,96778,19.5089232,-154.931405,HI,1,Rural - Fringe (41),D - Rural,1.50003E+11,637,"A - Less than 1,000",1,35.1,,E - N/A,D - West,Charter
Hays Public Schools USD 489,2017,http://www.usd489.com/,"323 West 12th St Hays, KS 67601",323 West 12th St,,Hays,KS,67601,38.8748,-99.33368,KS,1,Town - Remote (33),C - Town,2007020,"3,105","C - 2,500 - 9,999",6,401.2,11.38%,B - 10 to 19.99 percent,C - Central,Regular LEA
Haywood County Schools,2020,http://www.haywood.k12.nc.us/,"1230 N Main St Waynesville, NC 28786",1230 N Main St,,Waynesville,NC,28786,35.4975,-82.97244,NC,1,Suburb - Large (21),B - Suburban,3702040,"7,226","C - 2,500 - 9,999",15,973.25,19.52%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Hazelwood School District ,2019,https://www.hazelwoodschools.org,"15955 New Halls Ferry Road Florissant, MO 63031",15955 New Halls Ferry Road,,Florissant,MO,63031,38.83325,-90.3157,MO,1,Suburb - Large (21),B - Suburban,2913830,"17,825","D - 10,000 - 24,999",33,"1,562.47",22.56%,C - 20 to 29.99 percent,C - Central,Regular LEA
Hazleton Area School District,"2016, 2020",https://www.hasdk12.org/,"1515 W 23rd St Hazle Township, PA 18202",1515 W 23rd St,,Hazle Township,PA,18202,40.96948,-75.99433,PA,2,Suburb - Small (23),B - Suburban,4211700,"10,940","D - 10,000 - 24,999",11,"1,248.20",26.38%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Healdsburg Unified School District ,2016,http://healdsburgusd-ca.schoolloop.com/,"1028 Prince Street Healdsburg, CA 95448",1028 Prince Street,,Healdsburg,CA,95448,38.62346,-122.86601,CA,1,Suburb - Large (21),B - Suburban,600044,"1,674","B - 1,000 - 2,499",5,177.66,9.82%,A - Less than 10 percent,D - West,Regular LEA
Henderson Independent School District,2018,https://www.hendersonisd.org/,"200 N. High Street Henderson, TX 75652",200 N. High Street,,Henderson,TX,75652,32.15505,-94.7959,TX,1,Town - Distant (32),C - Town,4822970,"3,437","C - 2,500 - 9,999",5,492.98,21.26%,C - 20 to 29.99 percent,D - West,Regular LEA
